id,language,context,target,max_width
202,German,"Am 05.04.2019 schreibe ich über Transport und Infrastruktur in unserer Stadt. Viele Menschen nutzen Busse und Straßenbahnen, und auch Züge spielen eine wichtige Rolle. Die öffentliche Bahn ist oft zuverlässig, doch es gibt Staus und Verspätungen, besonders morgens und nachmittags. Deshalb investieren die Stadt","und der Staat in bessere Bahnhöfe, mehr Gleise und neue Buslinien.",663
203,English,"On 05.04.2019 I am writing about transport and infrastructure in our city. Many people use buses and trams, and trains also play an important role. The public railway is often reliable, but there are traffic jams and delays, especially in the morning and in the afternoon. Therefore the city","and the state invest in better stations, more tracks, and new bus lines.",672
204,German,"Es gibt Radwege, neue Fußgängerzonen und bessere Barrierefreiheit an Haltestellen, damit mehr Menschen zu Fuß oder mit dem Rad fahren. Die Infrastruktur bedeutet auch Straßen, Brücken und Tunnel. Man muss die Straßen",sicherer machen und die Wartung der Straßenoberflächen planen.,637
205,English,"There are bike paths, new pedestrian zones, and better accessibility at stops, so more people walk or ride a bicycle. The infrastructure also includes roads, bridges, and tunnels. One has to make the",roads safer and plan maintenance of the road surfaces.,531
206,German,"In der Stadt versuchen sie, den Verkehr zu steuern, damit die Luftverschmutzung sinkt. Viele Menschen wünschen sich schnellere Bahnen zwischen den Orten und moderne Flughäfen in der Nähe. Die Idee ist, Mobilität",zu ermöglichen und gleichzeitig die Umwelt zu schützen.,562
207,English,In the city they try to steer traffic so that air pollution decreases. Many people wish for faster trains between places and modern airports nearby. The idea is to enable mobility,while protecting the environment at the same time.,498
208,German,"Wenn Fahrpläne pünktlich erscheinen und Verspätungen sofort gemeldet werden, verliert niemand Zeit. Viele ältere Menschen schätzen niedrige Bordsteine, breite Türen und freundliches Personal, das ihnen hilft. In Schulen gibt es Projekte, die Kindern","zeigen, wie man sicher mit Bus und Bahn fährt.",467
209,English,"When timetables appear on time and delays are reported immediately, no one loses time. Many older people appreciate low curbs, wide doors, and friendly staff who help them. In schools there are projects that show children",how to travel safely by bus and by train.,396
210,German,"Auch die Kommunalverwaltung führt regelmäßige Kontrollen durch, um Schlaglöcher zu reparieren und Straßen zu säubern. Manchmal gibt es Diskussionen über neue Gebühren, und Bürgerinnen und Bürger erwarten eine faire Lösung. Gleichzeitig wird betont,","dass Investitionen der Wirtschaft helfen, neue Arbeitsplätze zu schaffen.",703
211,English,"The municipal administration also conducts regular checks to repair potholes and clean streets. Sometimes there are discussions about new fees, and citizens expect a fair solution. At the same time it is emphasized",that investments help the economy by creating new jobs.,555
212,German,"Unternehmen arbeiten mit der Stadt zusammen, um umweltfreundliche Lieferungen und weniger Staus zu ermöglichen. Wir brauchen auch gute Fahrradwege, sichere Kreuzungen und Beleuchtung, damit Freizeitgänger morgens sicher unterwegs sind. Die Politik spricht von","intelligenten Verkehrssystemen, die Autos, Busse und Züge besser koordinieren.",781
213,English,"Companies work with the city to enable environmentally friendly deliveries and fewer traffic jams. We also need good bicycle paths, safe crossings, and lighting so that recreational riders are safe in the morning. Politics speaks of","intelligent transport systems that coordinate cars, buses and trains better.",705
214,German,"Ich glaube, dass Transparenz hilft, und man öfter erklärt, wieso Dinge so lange dauern. Wenn man Projekte schrittweise angeht, bleiben Kosten überschaubar und Fehler können früh gefunden werden. Viele Straßen werden","modernisiert, damit Rettungsdienste schneller an jeden Ort gelangen.",673
215,English,"I believe transparency helps, and people are told more often why things take so long. If you tackle projects step by step, costs stay manageable and mistakes can be found early. Many streets are",modernized so emergency services can reach every place faster.,622
216,German,"Es ist sicher eine Herausforderung, aber die Menschen zeigen Geduld und Bereitschaft, neue Wege zu probieren. Ich bleibe zuversichtlich, dass unsere Infrastruktur besser wird, wenn alle zusammenarbeiten und Verantwortung übernehmen. Am Ende zahlt sich eine gute","Verkehrsanbindung aus, weil sie das Leben komfortabler und sicherer macht.",751
217,English,"It is certainly a challenge, but people show patience and willingness to try new paths. I remain hopeful that our infrastructure will improve if everyone works together and takes responsibility. In the end, good transport connections",pay off because they make life more comfortable and safer.,580
218,German,"Heute, am 1. November 1990, schreiben wir in Deutschland über die Zukunft der Ernährung und der Politik für gesunde Nahrung. Die Wiedervereinigung bringt neue Aufgaben für die Versorgung der Bevölkerung mit Lebensmitteln. In den neuen Ländern gab es in den ersten Wochen Versorgungsprobleme,",weil die Wirtschaft umgestellt wird und landwirtschaftliche Betriebe modernisiert werden müssen.,956
219,English,"Today, on November 1, 1990, we in Germany write about the future of nutrition and policies for healthy food. The reunification brings new tasks for supplying the population with food. In the new states there were in the first weeks supply problems, because the economy is being reorganized and agricultural farms have to be modernized. The governments of the federal level and the states are working to","keep food prices stable, plan aid for farmers and food businesses, and make storage and transport safer.",1000
220,German,"Die Regierungen von Bund und Ländern arbeiten daran, die Lebensmittelpreise stabil zu halten, Hilfen für Bauern und Lebensmittelbetriebe zu planen und die Lagerung sowie den Transport sicherer zu machen. Ziel ist es, dass alle Menschen in Deutschland genügend, gesundes und erschwingliches Essen bekommen. Dazu gehören frisches Obst und Gemüse, Vollkornbrot, Milchprodukte und ausreichend Fleisch oder Eiweißalternativen. Für Kinder, Jugendliche",und Schwangere sollen Schulen und Kindergärten bessere Mahlzeiten bekommen und Ernährungsbildung in den Unterricht gehören.,1285
221,English,"The aim is that all people in Germany get enough, healthy, and affordable food. This includes fresh fruit and vegetables, whole-grain bread, dairy products, and enough meat or protein alternatives. For children, young people, and pregnant women, schools and kindergartens should provide better meals and nutrition education should be part of lessons. The policy also tries to support agriculture",so that farms can work more modernly while protecting the environment at the same time.,876
222,German,"Die Politik versucht auch, die Landwirtschaft zu unterstützen, damit Betriebe modern arbeiten können und zugleich die Umwelt geschont wird. Es geht darum, die Produktion in den ländlichen Räumen zu fördern und gleichzeitig den Handel zu öffnen, damit Lebensmittel nicht knapp werden. Gleichzeitig soll die Ernährungspolitik die Gesundheit stärken, indem","sie über gute Essgewohnheiten, weniger Salz und Zucker, mehr Gemüse und Wasser informiert.",930
223,English,"It is about promoting production in rural areas and at the same time opening trade so that food does not become scarce. At the same time, nutrition policy should strengthen health by informing about good eating habits, less salt and sugar, more vegetables, and water. The leaders know that cooperation is necessary:","municipalities, states, and the federal government must work together to keep the supply reliable.",945
224,German,"Die Regierenden wissen, dass Zusammenarbeit notwendig ist: Kommunen, Länder und der Bund müssen zusammenarbeiten, damit die Versorgung zuverlässig bleibt. Die Menschen erwarten klare Regeln, gute Preise, Transparenz und soziale Sicherheit. Wir hoffen, dass dieser Prozess allen hilft: den Landwirten, den Arbeitern in der","Lebensmittelindustrie und vor allem den Familien, die täglich einkaufen und essen.",810
225,English,"People expect clear rules, fair prices, transparency, and social security. We hope this process helps everyone: farmers, workers in the food industry, and especially the families who shop and eat every day. Thus, after reunification, Germany can build a stable",and fair nutrition policy that also works in the long term.,555
226,German,"Am 16. Mai 2011 schreibe ich über öffentliche Gesundheit und Krankheitsvorbeugung. In vielen Ländern ist es wichtig, dass Menschen wissen, wie",sie sich und andere schützen können.,366
227,English,"On May 16, 2011 I am writing about public health and disease prevention. In many countries it is important that people know how to protect themselves and others. One of the most important rules is good hygiene: washing hands,","coughing or sneezing into the elbow, and cleaning surfaces regularly.",673
228,German,"Eine der wichtigsten Regeln ist gute Hygiene: Hände waschen, Husten oder Niesen in die Armbeuge, und Oberflächen regelmäßig reinigen. Impfungen gehören ebenfalls zur Prävention. Durch Impfungen",lassen sich schwere Infektionen verhindern oder abschwächen.,613
229,English,"Vaccinations are also part of prevention. By vaccinations serious infections can be prevented or reduced. In the influenza season 2010/2011 there were many illnesses, therefore it is especially important to also get",vaccinated against flu if you belong to risk groups.,497
230,German,"In der Grippesaison 2010/2011 gab es viele Krankheitsfälle, deshalb ist es besonders wichtig, sich auch gegen Grippe impfen zu lassen, wenn man zu Risikogruppen gehört. Die Behörden informieren die Bevölkerung mit Broschüren, Radio- und Fernsehnachrichten.","Schulen, Betriebe und Gemeinden bieten Programme zur Gesundheitsförderung an.",813
231,English,"The authorities inform the public with brochures, radio and television news. Schools, workplaces, and communities offer health promotion programs. These programs explain how to","eat healthily, exercise regularly, and sleep enough.",493
232,German,"Diese Programme erklären, wie man sich gesund ernährt, regelmäßig bewegt und ausreichend schläft. Wer früh Warnzeichen erkennt und regelmäßig zu Vorsorgeuntersuchungen geht, hat bessere Chancen, gesund zu bleiben. Die öffentliche Gesundheit hängt von dem Verhalten vieler Menschen ab; jeder kann","beitragen, zum Beispiel durch Hygiene, Bewegung und das Vermeiden von Rauchen.",828
233,English,"Those who recognize warning signs early and go regularly to preventive examinations have better chances to stay healthy. Public health depends on the behavior of many people; everyone can contribute, for example through hygiene, exercise, and avoiding smoking. In the long",term preventive measures help reduce costs and improve quality of life.,697
234,German,"Heute, am 12. März 1993, berichten Branchenbeobachter von deutlichen Veränderungen in der Halbleiterindustrie. Der Markt für Computer und Bürotechnik ist wieder etwas stärker geworden, und damit steigt auch die Nachfrage nach Mikroprozessoren und Speicherchips. Ein wichtiger Trend ist der Preisdruck bei DRAM-Speichern:","Die Kapazität wächst schneller als die Nachfrage, wodurch die Preise fallen.",745
235,English,"Today, March 12, 1993, industry observers report clear changes in the semiconductor industry. The market for computers and office technology has become somewhat stronger again, and with that demand for microprocessors and memory chips is also rising. An important trend is price pressure on DRAM memories: capacity is growing faster than demand, which drives prices down.",Many manufacturers respond by investing in new plants or modernizing existing lines to stay competitive.,1031
236,German,"Viele Hersteller reagieren mit Investitionen in neue Fertigungsstätten oder der Modernisierung vorhandener Linien, um wettbewerbsfähig zu bleiben. In den kommenden Jahren spielen geringerer Stromverbrauch, mehr Leistung und kleinere Bauformen eine größere Rolle. Unternehmen testen unterschiedliche Fertigungsverfahren, und CMOS-Technologie wird zunehmend wichtiger, weil sie bei niedrigerem Stromverbrauch bessere Leistung ermöglicht. Im März 1993","hat Intel den Pentium-Prozessor vorgestellt, der die Rechenleistung von Personal Computern deutlich erhöhen soll.",1114
237,English,"In the coming years, lower power consumption, more performance, and smaller form factors will play a larger role. Companies are testing different manufacturing processes, and CMOS technology is becoming increasingly important because it provides better performance at lower power consumption. In March 1993, Intel introduced the Pentium processor, which is intended to significantly increase the computing power of personal computers.",That means other companies have to deliver fast chips to keep up with the new standard.,861
238,German,"Das führt dazu, dass andere Unternehmen schnelle Chips liefern müssen, um mit dem neuen Standard mitzuhalten. In den USA, Japan und Europa arbeiten Firmen an neuen Designs und an Verbesserungen in der Fertigung, doch der größte Teil der Produktion liegt noch in Asien, insbesondere in Taiwan und Südkorea. Die Konkurrenz zwischen","den Regionen ist stark, und Europa versucht, durch Spezialisierung und Partnerschaften Boden gutzumachen.",1061
239,English,"In the United States, Japan and Europe, firms are working on new designs and improvements in manufacturing, but the majority of production is still in Asia, especially in Taiwan and South Korea. Competition between regions is strong, and Europe tries to catch up through specialization and partnerships. Memory chips, especially DRAMs, remain","a main field of competition, but Flash memory and other components are gaining importance.",909
240,German,"Die Speicherchips, vor allem DRAM, bleiben ein Hauptfeld des Wettbewerbs, doch auch Flash-Speicher und andere Bausteine gewinnen an Bedeutung. Die Preise schwanken stark, und viele Hersteller setzen auf Kostensenkung, Effizienz und enge Zusammenarbeit mit Kunden. Für Deutschland bedeutet das: Unternehmen","müssen in Forschung, Ausbildung und bessere Produktionsprozesse investieren, um langfristig mitzuhalten.",1044
241,English,"Prices fluctuate strongly, and many manufacturers focus on cost reduction, efficiency, and close cooperation with customers. For Germany, this means companies must invest in research, training, and better production processes to stay competitive in the long term. It is still too early to make reliable predictions, but the coming years could bring a new growth",phase for the semiconductor industry if PC sales stabilize worldwide and new applications emerge.,961
242,German,Heute ist der 28. November 2005. Ich schreibe über die Erforschung des Weltraums und über die,"Technologie, die dafür nötig ist.",316
243,English,"Today is November 28, 2005. I am writing about space exploration and the technology that is needed for it. Times are changing slowly, but",there are many examples of new possibilities.,448
244,German,"Die Zeiten ändern sich langsam, aber es gibt viele Beispiele für neue Möglichkeiten. Auf der Internationalen Raumstation ISS arbeiten ständig Astronautinnen und Astronauten. Sie lernen, wie man lange","im All lebt, dort arbeitet und Experimente durchführt.",525
245,English,"On the International Space Station, astronauts are constantly working. They learn how to live long in space, work there, and conduct experiments. The station is a laboratory in orbit",and a place of cooperation for many countries.,457
246,German,"Die Station ist ein Labor im Orbit und ein Ort der Zusammenarbeit vieler Länder. Gleichzeitig zeigen uns Raumsonden und Roboter, wie viel wir noch entdecken können. Auf dem Mars haben die Roboter Spirit und Opportunity in",den letzten Jahren viele Bilder geschickt und Daten gesammelt.,620
247,English,"At the same time, space probes and robots show us how much more we can discover. On Mars the rovers Spirit and Opportunity have sent many pictures and collected data in recent years. One sees","craters, mountains, and traces of water in the past.",491
248,German,"Im Januar 2005 landete die Sonde Huygens sanft auf dem Saturnmond Titan und brachte erstaunliche Bilder seiner Wolken und Seen aus Methan. Das war ein großer Schritt für die Raumfahrt, weil Titan eine fremde Welt ist, die wir besser",kennenlernen wollen. In der Technik gibt es auch neue Fortschritte.,656
249,English,"That was a big step for spaceflight because Titan is a strange world that we want to learn better. In technology there are also new advances. Better computers,","better sensors, and powerful communication systems help researchers.",686
250,German,"Bessere Computer, bessere Sensoren und leistungsfähige Kommunikationssysteme helfen den Forschern. Solarpanels, Antennen und Roboterarme werden kleiner, schneller und zuverlässiger. Viele Wissenschaftler arbeiten heute daran, Daten zu sammeln und zu teilen, damit",Forscher auf der Erde sie schneller verstehen können.,525
251,English,"Solar panels, antennas, and robotic arms become smaller, faster, and more reliable. Many scientists are working today to collect and share data so researchers on Earth can understand them faster. The costs of spaceflight are high, but many countries see the advantages: inventions help us in everyday","life, maps become more accurate, and our knowledge about the universe grows.",775
252,Spanish,"Es fácil de usar y evita errores. En las consultas, los médicos hablan con los pacientes de manera más clara. Ahora hay herramientas para hacer",pruebas sin dolor y con menos espera.,377
253,English,"It is easy to use and prevents errors. In consultations, doctors talk with patients more clearly. Now there are tools to do tests",without pain and with less waiting.,346
254,Spanish,"Las pruebas de sangre son rápidas y las imágenes muestran mejor lo que pasa dentro del cuerpo. Con esto, el médico puede decir un diagnóstico más",rápido. También hay avances en la prevención.,460
255,English,"Blood tests are fast and images show better what happens inside the body. With this, the doctor can give a faster diagnosis.",There are also advances in prevention.,379
256,Spanish,"Las vacunas protegen a los niños y a las familias. En la escuela o en el consultorio, se explica cómo funciona la higiene y la alimentación para estar",sanos. Otra gran idea es la telemedicina.,397
257,English,"Vaccines protect children and families. In school or at the clinic, it is explained how hygiene and diet help us stay",healthy. Another big idea is telemedicine.,408
258,Spanish,Un médico puede ayudar a un paciente que está en otra ciudad gracias a la computadora y al teléfono. Esto llega a lugares pequeños donde antes no había especialistas. En el mundo de,"la ciencia, se estudia el mapa de los genes.",418
259,English,A doctor can help a patient who is in another city thanks to the computer and the phone. This reaches small places where there were no specialists before. In the world,"of science, the map of genes is studied.",385
260,Spanish,"Por eso, en este año 2003, la gente aprende a usar estas herramientas. Las escuelas, las clínicas y las familias trabajan juntas. El objetivo es",que todos puedan cuidar mejor su salud.,396
261,English,"How are these technologies paid for? In my opinion, these innovations should reach more people. Therefore, in this year 2003,",people learn to use these tools.,306
262,Spanish,"Hoy es 14.04.2025. En las noticias, la inteligencia artificial, o IA, está en la vida diaria de muchas personas. Las empresas de tecnología publican actualizaciones cada semana. Los programas de IA ayudan","a escribir correos, resumir textos y traducir idiomas.",511
263,English,"Today is 14.04.2025. In the news, artificial intelligence, or AI, is in the daily life of many people. Tech companies publish updates every week. AI programs help","write emails, summarize texts, and translate languages.",539
264,Spanish,"También hay IA para la salud que ayuda a revisar imágenes médicas simples y a recordar a las personas tomar medicinas. En las escuelas, los profesores usan herramientas de IA para crear ejercicios y para ver qué ideas no entienden los estudiantes. Los estudiantes pueden practicar con chatbots que hablan como","personas. A veces, estas herramientas hacen sugerencias de corrección de ortografía y gramática.",940
265,English,"There is also AI for health that helps review simple medical images and to remind people to take their medicines. In schools, teachers use AI tools to create exercises and to see which ideas students do not understand. Students can practice with chatbots that speak",like people. Sometimes these tools make suggestions for spelling and grammar corrections.,887
266,Spanish,Las empresas presentan normas para proteger la información personal. Los usuarios deben aceptar términos simples y entender que algunas respuestas pueden ser incorrectas o incompletas. Los gobiernos piden transparencia: cuando una IA,"toma una decisión, debe explicarla de forma clara.",493
267,English,Companies present rules to protect personal information. Users should accept simple terms and understand that some answers may be incorrect or incomplete. Governments ask for transparency: when an AI,"makes a decision, it should be explained clearly.",473
268,Spanish,"En el hogar, hay asistentes de voz que entienden mejor las órdenes y funcionan con más dispositivos. En el trabajo, la IA ayuda a programar, a analizar datos y a diseñar productos. Sin embargo, algunas personas temen perder sus empleos, así",que las empresas ofrecen cursos para aprender a trabajar con IA.,629
269,English,"At home, there are voice assistants that understand commands better and work with more devices. At work, AI helps to program, analyze data, and design products. However, some people fear losing their jobs, so",companies offer courses to learn to work with AI.,486
270,Spanish,Esto ayuda a las personas a adaptarse. También hay noticias sobre ética y derechos digitales. La gente quiere que la IA respete la privacidad y,que no invente cosas sobre las personas.,396
271,English,This helps people adapt. There is also news about ethics and digital rights. People want AI to respect privacy and not,to make things up about people.,317
272,Spanish,"Se promueven normas para evitar sesgos y para que la IA no haga daño. En resumen, la IA está presente en muchas áreas y cambia poco a poco la vida de todos. Si alguien quiere empezar a usar estas herramientas, es bueno buscar tutoriales simples, practicar con ejemplos",y conversar con amigos sobre lo que funciona mejor para cada tarea.,669
273,English,"Norms are promoted to avoid bias and so that AI does not cause harm. In short, AI is present in many areas and gradually changes the lives of everyone. If someone wants to start using these tools, it is good to look for simple tutorials, practice with","examples, and talk with friends about what works best for each task.",667
274,Spanish,"Hoy, 16 de enero de 2004, la industria aeroespacial y la aviación siguen creciendo en todo el mundo. Las grandes empresas, como Airbus y Boeing, producen aviones para viajar y para transportar mercancías. También hay mucho trabajo en los motores,",en los materiales ligeros y en la tecnología de seguridad.,553
275,English,"Today, January 16, 2004, the aerospace and aviation industries are still growing all over the world. The big companies, like Airbus and Boeing, produce airplanes to travel and to transport goods. There is also a lot of","work in engines, in lightweight materials and in safety technology.",649
276,Spanish,"Los aviones modernos consumen menos combustible y hacen menos ruido, gracias a nuevos motores y a diseños más eficientes. Los países invierten en aeropuertos, en centros de investigación y en escuelas para enseñar a las personas a construir y mantener estas máquinas. La aviación comercial ayuda al turismo y al comercio,","y da empleo a miles de personas, desde ingenieros hasta técnicos de mantenimiento.",818
277,English,"Modern airplanes use less fuel and make less noise, thanks to new engines and to more efficient designs. Countries invest in airports, in research centers and in schools to teach people to build and maintain these machines. Commercial aviation helps tourism and trade, and","provides jobs to thousands of people, from engineers to maintenance technicians.",791
278,Spanish,"En el espacio, la industria aeroespacial se ocupa de cohetes, satélites y exploración. Empresas y agencias, como la NASA y la Agencia Espacial Europea, trabajan juntas para lanzar satélites que mejoran la comunicación y la observación de la Tierra. Aunque el viaje espacial todavía es caro y arriesgado, los",años recientes muestran avances importantes en seguridad y en la recuperación de tecnologías.,919
279,English,"In space, the aerospace industry deals with rockets, satellites and exploration. Companies and agencies, like NASA and the European Space Agency, work together to launch satellites that improve communication and Earth observation. Although space travel is still expensive and risky, recent years",show important advances in safety and in the recovery of technologies.,692
280,Spanish,"En resumen, la aeroespacial y la aviación son sectores importantes para la economía y para la ciencia. Pero también deben cuidar el medio ambiente y la seguridad de las personas, para que el viaje siga siendo seguro y eficiente en el futuro. En los aeropuertos, hay",equipos de control de tráfico y personal que ayuda a los pasajeros.,646
281,English,"In short, aerospace and aviation are important sectors for the economy and for science. But they must also protect the environment and the safety of people, so that travel remains safe and efficient in the future. In airports, there",are air traffic control teams and staff that help passengers.,565
282,Spanish,"Los aeropuertos modernos tienen sistemas de seguridad y de servicio al cliente. La educación en ingeniería aeronáutica es importante para que el sector siga creciendo. Los jóvenes estudian física,",matemáticas y tecnología para trabajar en este campo.,529
283,English,"Modern airports have security systems and customer service. Education in aerospace engineering is important for the sector to keep growing. Young people study physics, mathematics",and technology to work in this field.,359
284,Spanish,"Hoy, 30 de agosto de 2008, hay noticias sobre elecciones y cambios de liderazgo en varios países. En mi país, las elecciones se acercan y la gente está lista para decidir. Los partidos presentan a",sus candidatos y explican sus ideas para el país.,468
285,English,"Today, August 30, 2008, there is news about elections and leadership changes in several countries. In my country, the elections are approaching and people are ready to decide. The parties present their",candidates and explain their ideas for the country.,487
286,Spanish,"Cada candidato habla de economía, educación y salud, y promete planes simples para mejorar la vida de las personas. Las campañas son largas y a veces ruidosas, pero la gente quiere escuchar y comparar. En las","plazas y en las calles, se discute con calma.",427
287,English,"Each candidate talks about the economy, education, and health, and promises simple plans to improve the lives of people. Campaigns are long and sometimes noisy, but people want to listen and compare. In","the squares and on the streets, discussions happen calmly.",563
288,Spanish,Las familias miran la televisión y leen los periódicos para entender quién podría ganar. Muchos ciudadanos van a las asambleas locales para preguntar a los candidatos. Algunas personas ya,"han tomado una decisión, pero otras todavía dudan.",504
289,English,Families watch television and read newspapers to understand who might win. Many citizens go to local meetings to ask the candidates questions. Some people have already,"made a decision, but others still doubt.",381
290,Spanish,"En otros países, también hay cambios de liderazgo. En Estados Unidos, la campaña presidencial continúa entre Barack Obama y John McCain, y muchas personas hablan de ello en casa. En Europa, otros",líderes podrían dejar sus cargos si sus partidos ganan.,524
291,English,"In other countries, there are also leadership changes. In the United States, the presidential campaign continues between Barack Obama and John McCain, and many people talk about it at home. In Europe, other",leaders could leave their offices if their parties win.,504
292,Spanish,"La gente quiere un futuro mejor, con empleo estable y menos problemas en la vida diaria. Pero las elecciones deben ser libres, justas y","pacíficas. Así, la gente puede participar.",394
293,English,"People want a better future, with stable employment and fewer daily problems. But elections must be free, fair, and","peaceful. Thus, people can participate.",380
294,Spanish,"El día de la votación, la gente irá a votar y las urnas escribirán la historia de este año, 2008. Después de las votaciones, habrá resultados y cambios posibles en el gobierno. Así, la política continúa con","promesas, debates y esperanzas para el país y el mundo.",549
295,English,"On the day of the vote, people will go to vote and the ballots will write the history of this year, 2008. After the voting, there will be results and possible changes in government. Thus, politics continues with","promises, debates, and hopes for the country and the world.",583
296,Spanish,"Hoy, 20 de julio de 1997, el país vive un momento importante. Las elecciones están cerca y la gente piensa en su voto. En",la televisión hay debates y entrevistas.,378
297,English,"Today, July 20, 1997, the country is going through an important moment. The elections are near and people are thinking about their vote. On",television there are debates and interviews.,423
298,Spanish,Prometen cambios para mejorar la vida diaria. Los ciudadanos deben decidir a quién apoyar. En las urnas se pone una,marca y se entrega la papeleta.,305
299,English,They promise changes to improve daily life. Citizens must decide who to support. In the ballots you put a mark,and hand in the ballot paper.,282
300,Spanish,"En algunas regiones ya se sabe quién gana, en otras aún falta por contar. Hay un cambio de liderazgo en el horizonte. Un líder antiguo deja su cargo y otra","persona, o un grupo nuevo, asume la responsabilidad.",526
301,English,In some regions it is already known who wins; in others there is still to count. There is a change of leadership on the horizon. An old leader leaves his post and another,"person, or a new group, takes over the responsibility.",518
302,Spanish,"Las calles tienen carteles y pancartas. Los vecinos hablan de lo que esperan y de las promesas que escucharon. Este proceso electoral muestra la democracia en acción: la gente vota, se discute",y el poder cambia de manos de forma pacífica.,459
303,English,The streets have posters and banners. Neighbours talk about what they hope for and about the promises they heard. This electoral process shows democracy in action: people,"vote, discuss, and power changes hands peacefully.",501
304,Spanish,"Mañana las autoridades anunciarán los resultados finales y el nombre del nuevo líder o de la coalición ganadora. La gente se prepara para seguir las noticias con calma y paciencia. En fin, estas elecciones de 1997 recuerdan la importancia de",participar y de respetar las reglas para construir un país estable.,620
305,English,"Tomorrow authorities will announce the final results and the name of the new leader or the winning coalition. People prepare to follow the news with calm and patience. In short, these elections of 1997 remember the importance of participating",and of respecting the rules to build a stable country.,506
306,Spanish,"Algunas personas dicen que el proceso es lento, pero es correcto. Otros creen que hay que cambiar rápido para no perder tiempo. Muchos jóvenes pueden votar por",primera vez y quieren ver ideas nuevas.,392
307,English,"Some people say the process is slow, but it is right. Others believe that change should be fast so as not to waste time. Many young people can vote for the",first time and want to see new ideas.,359
308,Spanish,Las familias discuten en la mesa la posibilidad de un futuro mejor. En las noticias se habla de democracia y de paz. Este día,quedará en la memoria de muchos.,345
309,English,Families discuss at the table the possibility of a better future. The news talk about democracy and peace. This day will,remain in the memory of many.,312
310,Spanish,"Hoy es 29.10.1995. Las noticias dicen que las elecciones y los cambios de liderazgo son temas muy importantes ahora. En muchos países las personas van a votar y esperan que el nuevo gobierno mejore la economía, la educación y la salud. Los candidatos recorren ciudades y","pueblos, hablan en plazas y en la radio, y prometen soluciones simples.",695
311,English,"Today is 29.10.1995. The news says that elections and leadership changes are very important topics now. In many countries people go to vote and hope the new government will improve the economy, education, and health. The candidates travel through cities and towns,","speak in squares and on the radio, and promise simple solutions.",627
312,Spanish,"Las campañas son largas y se ven carteles, banderas y lemas en las calles. Este año ha habido cambios de liderazgo: algunos presidentes o primeros ministros se retiran, otros quieren ideas nuevas, y algunos ganan por una diferencia pequeña. La gente comenta quién es más confiable y quién puede trabajar para el futuro. Hay quien dice que la estabilidad es más","importante que cambios rápidos, y hay otros que quieren renovación y más participación de la gente.",977
313,English,"Campaigns are long and you can see posters, flags, and slogans in the streets. This year there have been leadership changes: some presidents or prime ministers retire, others want new ideas, and some win by a small margin. People discuss who is more trustworthy and who can work for the future. Some say stability is more","important than rapid changes, and others want renewal and more participation by the people.",900
314,Spanish,En la televisión y la radio se ven debates donde se preguntan cosas claras: ¿qué plan para el empleo? ¿Cómo van a pagar las escuelas? ¿Qué pasa con la corrupción? El resultado de estas elecciones puede cambiar la dirección de los gobiernos y muchas decisiones,"públicas. Después de votar, los conteos traen noticias y, a veces, sorpresas.",727
315,English,On TV and on the radio you see debates where clear questions are asked: what plan for employment? How will they,pay for schools? What about corruption?,402
316,Spanish,"La gente observa con atención y espera una transición suave si hay un cambio de liderazgo. Aun así, el proceso de votar y de elegir es una parte importante de la vida política y de la historia de cada país. Al final del día sabremos quién gana, y",cada persona pensará en su propio futuro y en el de sus vecinos.,624
317,English,"The result of these elections can change the direction of governments and many public decisions. After voting, the counts bring news and, sometimes, surprises. People watch carefully and hope for a",smooth transition if there is a leadership change.,475
318,Spanish,Las fichas se pueden leer en la pantalla y compartir entre médicos cuando es necesario. La información digital facilita seguir el tratamiento y recordar las medicinas. Otra innovación es la telemedicina: a veces un médico puede aconsejar a un paciente,que está lejos por teléfono o por una videollamada simple.,570
319,English,The files can be read on the screen and shared among doctors when necessary. Digital information makes it easier to follow the treatment and remember medicines. Another innovation is telemedicine: sometimes a doctor can advise a patient who is,far away by telephone or by a simple video call.,471
320,Spanish,"Aún hay problemas con las conexiones y la calidad de la imagen, pero se empieza a usar más. En las habitaciones del hospital hay monitores que vigilan el corazón, la respiración y la presión.",Esto ayuda a los enfermos a estar más seguros.,460
321,English,"There are still problems with connections and image quality, but it is being used more. In hospital rooms there are monitors that watch the heart, the breathing, and",the blood pressure. This helps patients be safer.,464
322,Spanish,"También hay campañas de prevención para que las personas se vacunen y cuiden su salud diaria. En resumen, hay muchos cambios en la forma de cuidar a las personas, y pienso que estas ideas traerán beneficios para todos en el futuro cercano. Aunque","hay desafíos, estas innovaciones dan esperanza en este momento de 1996.",719
323,English,"There are also prevention campaigns so people get vaccinated and take care of their daily health. In short, there are many changes in how people are cared for, and I think these ideas will bring benefits to everyone in the near future. Although there","are challenges, these innovations give hope at this moment in 1996.",659
324,Spanish,"En Europa, las empresas cooperan para diseñar y fabricar aviones que conectan ciudades de todo el mundo. En Estados Unidos, Boeing continúa produciendo aviones para vuelos cortos y largos. El comercio y el turismo dependen del transporte aéreo, y los",aeropuertos se organizan para que la gente viaje con rapidez.,593
325,English,"In Europe, companies cooperate to design and manufacture airplanes that connect cities around the world. In the United States, Boeing continues to produce airplanes for short and long flights. Trade and tourism depend on air","transport, and airports are organized so people travel quickly.",597
